epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0985,0.92194,1.35686,1.47757,0.42895,0.75502,0.40675,0.26218,0.94803,2.593,0.97306,0.000661905,0.000661905,0.000661905
2,49.6568,0.84025,0.88859,1.40561,0.64945,0.56627,0.62449,0.39461,1.03086,1.38855,1.0891,0.00131542,0.00131542,0.00131542
3,71.703,0.81782,0.82109,1.38824,0.75624,0.7751,0.82592,0.66895,0.90652,1.02256,0.90942,0.00195573,0.00195573,0.00195573
4,93.8493,0.78098,0.74333,1.35328,0.92383,0.87674,0.93671,0.75501,0.80042,0.82473,0.88939,0.0019406,0.0019406,0.0019406
5,115.357,0.74261,0.7018,1.31584,0.9358,0.86747,0.93481,0.76784,0.79306,0.65469,0.84371,0.0019208,0.0019208,0.0019208
6,137.195,0.69385,0.65397,1.2801,0.94371,0.87149,0.93296,0.75038,0.81519,0.7194,0.88561,0.001901,0.001901,0.001901
7,158.697,0.6775,0.65272,1.27005,0.96413,0.8996,0.95632,0.80395,0.76506,0.62248,0.84223,0.0018812,0.0018812,0.0018812
8,180.325,0.65009,0.61554,1.25173,0.95703,0.89447,0.95307,0.78284,0.76534,0.67395,0.82203,0.0018614,0.0018614,0.0018614
9,201.614,0.6301,0.59048,1.23437,0.94358,0.87318,0.94926,0.78977,0.82106,0.69324,0.88923,0.0018416,0.0018416,0.0018416
10,222.974,0.62148,0.5803,1.22118,0.95328,0.93976,0.96332,0.76266,0.79885,0.59931,0.85871,0.0018218,0.0018218,0.0018218
11,244.36,0.62852,0.58802,1.23609,0.9666,0.92369,0.96308,0.78597,0.69276,0.62362,0.76923,0.001802,0.001802,0.001802
12,265.749,0.59415,0.5649,1.20151,0.96325,0.94742,0.97357,0.76703,0.74793,0.53578,0.82573,0.0017822,0.0017822,0.0017822
13,287.187,0.59378,0.54546,1.20432,0.95387,0.90763,0.94967,0.76656,0.75284,0.61938,0.82043,0.0017624,0.0017624,0.0017624
14,308.635,0.57452,0.53872,1.18733,0.95244,0.95582,0.97496,0.80498,0.73938,0.58839,0.85774,0.0017426,0.0017426,0.0017426
15,330.159,0.59275,0.54753,1.19959,0.95093,0.94378,0.96491,0.81174,0.71451,0.5861,0.77953,0.0017228,0.0017228,0.0017228
16,352.037,0.56488,0.52252,1.18742,0.95053,0.93173,0.97182,0.81936,0.7362,0.5712,0.79711,0.001703,0.001703,0.001703
17,374.152,0.57445,0.52972,1.18354,0.96835,0.93976,0.97169,0.79927,0.6796,0.5616,0.74922,0.0016832,0.0016832,0.0016832
